,epoch,GroundTruth,Prediction
0,40,from that hour dated one of the most sanguinary feuds in the history of the great trading company a feud which as we shall see was destined to live even unto the second generation,from the hour dated one  the most sanguinary fudes in the history of a great trating combany a fud which as we shall se was destined to live even onto the second generation
1,40,he says tide replied my uncle translating the danish word for my information,he says tied replied my uncle tranleing the danis ward for ma information
2,40,on the eleventh day we sighted cape portland over which towered mount myrdals yokul which the weather being clear we made out very readily,on the eleventh day we sighted cape portlan or which toward mountain miduals iocle whichs the weather being clear we made out very readily
3,40,the people must wait outside for there is no room for them in the palace,the peoplemass way outside for there is no grom for them in e talis
4,40,but men kept on fighting and robbing even while the rain was pouring down and the sea was coming up over the land,but men kept on fighting and rarbing even while the rain was pouring down and the sea was coming up over the land
5,40,he passed through one apartment after another where were ladies and gentlemen asleep in their chairs or standing,he passed through one apartdment after another where were ladies and gentleman is sleep and that cairs are standing
6,40,who may condemn his superstition,who may congamne the superstition
7,40,giving themselves up wholly to their grief they are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home,givin themselves upoly to their grief they are no lar certn o out in thet earhly possession and ofting give roail that they hav to the first commers even to their beds in their home
8,40,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times,iexpuaint enneo how this man that he was twenty for yeur resole that  must have been there when white man first came lust an from buffail an indian times
9,40,gradually relief came to all of us,gradually relieve came t all of us
10,40,there she owns a cottage or it may be a pigstye for all i know,there she ond to cottage por it may be a pig sty for all i know
11,40,we have all been giving mary ann presents and i suppose you mister whiting have been giving her something too,we have aban giving mary ane preisents and i suppose you mister widing have been giving her something to
12,40,there's a knocker if none of em haven't twisted it off,there's a knoctor if none of am hammen twisted it off
13,40,i promise you i will do you no harm,i promise you i will do you no harm
14,40,i could not help my friend,i could not hel my friend
15,40,two or three miles farther on is the main stronghold of the modocs held by them so long and defiantly against all the soldiers that could be brought to the attack,two or three miles for ther on is the main strongoled of the motocks held but ham so long and fianilly against all the soldiers that could be brought to the attack
16,40,she had lost him years and years before and now she saw him he was there and she knew him,she had lost him years and years before and now she saw him he was there and she knew him
17,40,but here the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at,but here the only thing that occurred to her was to stop and look in one of the shots till he should ask hor why she was looking at
18,40,if the original is still in the world i think he might defy the sun to make him look stern and hard,if the original is tol in the world i think he might defie the son to make him look turn and heart
19,40,ah but these hens answered the young man these hens of aristocratic lineage would scorn to understand the vulgar language of a barn yard fowl,ah but these hents answerd the young man thesinds te baristocratic liniage wicd scorn to understand the vogcan language of a bon yord fouts
20,40,miss woodley obediently sat down and though her thoughts and heart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered,ose wedle obediently sat down and though her thoughts and hart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered
21,40,perhaps you could put on your coat and walk out with me for a few minutes said trevelyan,perhaps he could put on your coat and walk out with me for a few minutes sat rmalion
22,40,rhein and moselle eighteen ninety three,fryind a moze eighteen ninety three
23,40,to the pickle add two large onions cut in quarters two fresh carrots and about one ounce of mixed whole allspice black peppers cloves and bay leaves,through the pickle and two larg gonian's cut in quarters to fish ceares and about one ounce of nixed wlilaspice whatk pepper's clotes and bay laves
24,40,that last fellow you had ought to have been tied up himself,tat lastfell you had ot to ahve been tiht of himself
25,40,another flogging to morrow said he grumblingly,another flogging to morrow said he grumblingly
26,40,i'll teach my prisoners to attempt suicide,i'll teach my prisoners to attempt su acide
27,40,only unfortunately his own work never does get good,only and fortunately his own work never does get good
28,40,he was in reverie sliding along the borders of consciousness,he was in griverry spiningho on the borders of consciousness
29,40,illustration pestle and mortar,ilustration pestelan mornar
30,40,french forcemeat,french forced meet
31,40,fortunately will halley was not a man in a hurry and did not use a press of canvas or his masts would inevitably have come down,fortunately will halleyed was not a man in a hurry an did not use appressive can rits or is maswordi im evirtably have come nown
32,40,sufficient allow two crumpets to each person,sufficient allow two crumpids to each person
33,40,seventeen twenty four,seventeen twenty four
34,40,two days afterwards our nocturnal orgy began to be talked of,two days afterwards are anocturnal orgi began to be talked of
35,40,inside a secret rocket telemetering device was mounted on its test stand,the inside a secret rocket tell the metering device was mounterd non its testand
36,40,send my soul clean to asura,said my soul clean to assurea
37,40,bennet will take the garden and green house off my hands this autumn for a year or longer if i like,then it will take the gardernment  gene house off my hencshe sautum fora ear longer of i like
38,40,so to the road thou shalt be reconciled and find the lady and with the lady love,so to the road tho shall be reconciled and find the lady and with the lady love
39,40,money is false and light unless it be bought by a man's own worthy qualities and blood is such that its corrupt disease and ignorant pretence are foul to see,money as fale and linktd unless it be bought i a man's ownworthy qualities and blood it such that its corrupts tiseaze and ignorat retentse or filed to see
40,40,i think i cannot go right for i either check myself till i'm downright cross to him or else i speak just natural and that's too kind and tender by half,i think i cannot go right for i ether check myself till i'm down right crossed i him oills i speak just netshril and nhat' to kind in tender by half
41,40,this is the problem of race,this is the problem of race
42,40,he's so far to the right of me that i can't reach him,he is so for to the riti metat i hant reach him
43,40,where are they asked the boy,where are ty ask the boy
44,40,jam exclaimed chunky stretching his neck and eyeing the dish longingly,jeum it exclaimed drumky's shrching is nic an ying  dish lingly
45,40,that boy hears too much of what is talked about here,that woy hears too much what is tapked atout here
46,40,a harsh laugh from comrade ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes,ha hoarse laugh rand commadassipan cut e tirate ded shorp in a sudden faltering of the tongue may be wldered unstubbiness with it postles moldly exulpid eyes
47,40,you know i'd get drafted in a year or two anyway,you know id de drapped in a year twilinei
48,40,she pointed into the gold cottonwood tree behind whose top we stood and said again what name,she pointed into the gold caugttonwiud tree behind his topwy stood and said again what name
49,40,and the captain of course concluded after having been introduced to kitty that missus norman was a widow,and the captain of course concluded after having been introducedh kitty that missus dorman was r widow
50,40,she shall have your message all that i can do to persuade her shall be done,she shall have your message all that i can doe to persuade her shall be done
