,GroundTruth,Prediction
0,the merchant's daughter at first did not answer but as he kept on calling to her she finally asked him what it was that he wanted,the merchant's daughter at firsted not answer but as he kept ol calling to her she fignatly asked him wut it was that he wanted
1,under the same quiet moonlight and only six hundred yards away from us also lay the victorious rebel army,under the same quite moon light and only six hundred yards away from us alsolay the victorious ruble army
2,here you strike the old emigrant road which leads over the low divide to the eastern slopes of the mountain,here you strike the old amgrant road which leads over the lon devied to the eastern slops of the mountain
3,when she said good night to beenie and went to her chamber over that where the loved parent and friend would fall asleep no more she felt as if she went walking along to her tomb,when she said good nighta beane and went to her chamber over that wit amuped parent ad friend would all asleet no more she felt as if she went walking along to her to
4,she said how frightfully cold it is,she said half frightfully colt it is
5,the sun as you see tells quite another story and will not be coaxed out of it after half a dozen patient attempts on my part,the sun as you see tells quite ano the story and will not be coped out of it after half a dozenpatient attempts on my part
6,pray go to bed for i am sure you must need rest,prang yo to bed for i am sure you mught bet reath
7,do you think i would go answered miss milner with an eagerness that for a time suppressed her tears in contradiction to his will,do you think i would go answered miss meln there with eagerness at for a times orussed her tears in contradiction t is will
8,i've watched as sharp as watching can go pretty near,i've watched as sharp is watching yin go pretty near
9,dry and of magnificent bouquet,dry and of magnificent boket
10,in addition to abalone's the hof brau makes a specialty of little oregon crawfish,in thed dition to abalonies of a holf ro maxe a specialty of litte arec and crowthers
11,what is he more than anybody else said the wretched man to himself as he hugged his misery close,what is he more than anybdy else sad the wretched man to himself as he hued his misery close
12,abandoned indeed by god and man almost,abandoned indeed by god and man almost
13,have you many visitors captain burgess very few,have you many visitors scapt in purchase very few
14,but my uncle was in no humor to wait,but ma uncle was a no hamor to wait
15,mister morton seemed particularly struck with the account of waverley's visit to donald bean lean,mister morconchange picticcilarly struck with the account of waerlies a that to darle bein lean
16,from that hour dated one of the most sanguinary feuds in the history of the great trading company a feud which as we shall see was destined to live even unto the second generation,from the hour deted one  the most sangquinary fudes in the history of the great trating company a fud which as we shall see was desined to live even onto the second generation
17,he says tide replied my uncle translating the danish word for my information,he says tied replied my uncle trandliing the danis woard from a inpormation
18,on the eleventh day we sighted cape portland over which towered mount myrdals yokul which the weather being clear we made out very readily,on the eleventh day we cighted cape portlan or which toward mountain miduals okle which s the weather being clear we made out very readily
19,the people must wait outside for there is no room for them in the palace,the peoplemoss way outsid for there is no room for them in the talace
20,but men kept on fighting and robbing even while the rain was pouring down and the sea was coming up over the land,but men kept on fighting and robing even while the rain was pouring down and the sea was coming up over the land
21,he passed through one apartment after another where were ladies and gentlemen asleep in their chairs or standing,he passed through one apartment after another where were ladys gentleman is sleep in that chairs are standing
22,who may condemn his superstition,who may congamn hi superstition
23,giving themselves up wholly to their grief they are no longer concerned about any earthly possession and often give away all that they have to the first comers even to their beds and their home,giving themselves appoly to their grief er na large certain about in the earthly possession and ofting give ay all that they ha to the first commerge even to their beds in their home
24,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times,ie aquaint ancsmea how this net that he was twenty four your olt that he must have been there when white men first came left un from bufflo an indian times
25,gradually relief came to all of us,gradually brelieve came to all of us
26,there she owns a cottage or it may be a pigstye for all i know,there she ons ta cottage or it may be a pig dy for all i know
27,we have all been giving mary ann presents and i suppose you mister whiting have been giving her something too,we have atend giing mary an presents and i suppose you mister widing have been giving her something to
28,there's a knocker if none of em haven't twisted it off,there's a noctor if none of am hamen twisted it off
29,i promise you i will do you no harm,i promise you i will do you no harm
30,i could not help my friend,i could not hel my friend
31,two or three miles farther on is the main stronghold of the modocs held by them so long and defiantly against all the soldiers that could be brought to the attack,two or three miles fur ther on is the main strong olr of the motdocs held but tham so long and fintly against all the soldiers that could be brought to the attack
32,she had lost him years and years before and now she saw him he was there and she knew him,she had lost him years and years before and now she saw him he was there and she knew him
33,but here the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at,but here the only thing that occurred to her was te stop and look in one of the shops till he should ask hor wha she was looking at
34,if the original is still in the world i think he might defy the sun to make him look stern and hard,if the originalist to n the world i think he might defid the sun to make him looks sturn and hearted
35,ah but these hens answered the young man these hens of aristocratic lineage would scorn to understand the vulgar language of a barn yard fowl,ah but these hent answer the young man tes in the bariss tocratac lineage who scorn to understand the bogan language of a bondyard fouls
36,miss woodley obediently sat down and though her thoughts and heart were in the chamber of her friend she never marked by one impertinent word or by one line of her face the restraint she suffered,is wedley obediently sat down and though her thoughts and hird were in the chamber of her friend she never marked by one impertinent word or by one line of her face the a straing she suffered
37,perhaps you could put on your coat and walk out with me for a few minutes said trevelyan,perhaps he could put on your coat and walk out with me for a few minute said ramalion
38,rhein and moselle eighteen ninety three,frying and mozel eighteen inety three
39,to the pickle add two large onions cut in quarters two fresh carrots and about one ounce of mixed whole allspice black peppers cloves and bay leaves,through the pickle and to aur gonians cut in quarters to fresh hearace and about one hounse of mixd plalaspice what pepper's clothes and bay laves
40,meanwhile two children came to bless the happy union of newsome and his lovely indian wife,meanwhile two children came to bles to have usnion of newsom in is lovely ind in wife
41,in any case i shall trust rather to my own intelligence than theirs,ind any case i shall trut rather to my own intelligence than theres
42,no mister hardwigg said the captain no fear of that,no mister hart wike said the captain no fear of that
43,it had no ornamentation being exceedingly plain in appearance,it had no orn amentation being exceedingly plain in appearance
44,in those very early times there was a man named deucalion and he was the son of prometheus,in those very early times there was a man named ducalian and he was the son of pormeius
45,they talked for four hours and had not then said half that was in their heads to say,they talkes were foure ours and it not then said halfe that was in their heads to say
46,the original attitude of the american indian toward the eternal the great mystery that surrounds and embraces us was as simple as it was exalted,the orisonal attitude the american ind in toward the aternal the great mistery that surrounds and embraces us was it simple as it was exhalted
47,this was carried out to the letter,this was carried out to the letter
48,look tony that's his poison i said,looktony that's is poison a sad
